iter	RMSE
156	6.454403885
157	6.45346838
158	6.45033073
159	6.448377003
160	6.445745461
161	6.444635518
162	6.441967314
163	6.440464534
164	6.439556294
165	6.438580393
166	6.437134267
167	6.435867272
168	6.434797499
169	6.433804795
170	6.432152211
171	6.429483804
172	6.42801567
173	6.426840044
174	6.425722437
175	6.424939506
176	6.42357759
177	6.422480884
178	6.421082243
179	6.418030453
180	6.416952463
181	6.415971674
182	6.415319073
183	6.413517499
184	6.412534009
185	6.410574523
186	6.409274597
187	6.407794432
188	6.40617472
189	6.405313643
190	6.402919391
191	6.402045514
192	6.400966016
193	6.399697983
194	6.398847106
195	6.397551676
196	6.39675256
197	6.395460686
198	6.394297582
199	6.392202058
200	6.390810221
201	6.389684128
202	6.388863226
203	6.388227845
204	6.386314048
205	6.385032289
206	6.38364887
207	6.383147731
208	6.381410068
209	6.380630764
210	6.379962898
211	6.379045045
212	6.377996828
213	6.37638366
214	6.375028996
215	6.374670179
216	6.373447078
217	6.370734435
218	6.370025092
219	6.367578103
220	6.366209408
221	6.365297576
222	6.364525402
223	6.363987568
224	6.362649013
225	6.361341114
226	6.360534512
227	6.357945352
228	6.355846044
229	6.354445281
230	6.352220287
231	6.351572311
232	6.350276192
233	6.349786849
234	6.348990903
235	6.347810418
236	6.346958628
237	6.346441009
238	6.345618877
239	6.344675036
240	6.343772239
241	6.34321355
242	6.342718533
243	6.341460289
244	6.340665202
245	6.340049291
246	6.339708017
247	6.339180034
248	6.337745268
249	6.335092671
250	6.334404915
251	6.333725135
252	6.33239403
253	6.331615483
254	6.329577995
255	6.327939397
256	6.327269909
257	6.326320851
258	6.325215072
259	6.324130864
260	6.323252563
261	6.322361129
262	6.321823385
263	6.320915173
264	6.319193953
265	6.318365817
266	6.317967928
267	6.317376157
268	6.317042174
269	6.316578166
270	6.316206344
271	6.315369391
272	6.314387043
273	6.31369668
274	6.312422794
275	6.311735584
276	6.311042842
277	6.310291668
278	6.309917016
279	6.30945376
280	6.308666177
281	6.307816049
282	6.307047483
283	6.306086794
284	6.305346822
285	6.304913099
286	6.304425137
287	6.302747363
288	6.301613759
289	6.30114476
290	6.300280719
291	6.299397014
292	6.298698185
293	6.298446432
294	6.297116818
295	6.296531414
296	6.296054342
297	6.295339335
298	6.294902444
299	6.2942201
300	6.29348853
301	6.29282361
302	6.291830129
303	6.290612293
304	6.289977189
305	6.289209384
306	6.288618352
307	6.287680345
308	6.286960992
309	6.286628627
310	6.286173428
311	6.285592574
312	6.285275277
313	6.2847612
314	6.284361154
315	6.283756611
316	6.283419405
317	6.2831598
318	6.282393844
319	6.282133424
320	6.281112282
321	6.280646619
322	6.280054533
323	6.279092711
324	6.27840283
325	6.277732708
326	6.277394639
327	6.2771584
328	6.27688512
329	6.276057009
330	6.275253998
331	6.274995812
332	6.274629385
333	6.27410365
334	6.273855569
335	6.273566879
336	6.271176923
337	6.270681499
338	6.270483394
339	6.269387838
340	6.268873006
341	6.268175615
342	6.267811616
343	6.266437299
344	6.265344363
345	6.265120948
346	6.264655289
347	6.264190598
348	6.263218215
349	6.262899301
350	6.262059412
351	6.261553626
352	6.261258442
353	6.26083111
354	6.26007863
355	6.259607782
356	6.258743827
357	6.258451588
358	6.257935799
359	6.257366988
360	6.257115846
361	6.256237741
362	6.25582194
363	6.255380336
364	6.255177095
365	6.254706778
366	6.254375843
367	6.253877356
368	6.253588856
369	6.253108969
370	6.25257797
371	6.252045678
372	6.251583335
373	6.250412192
374	6.250135961
375	6.246041633
376	6.244846892
377	6.244305885
378	6.24389547
379	6.242915286
380	6.242154753
381	6.241901037
382	6.241718109
383	6.241418941
384	6.241198794
385	6.240765902
386	6.240315888
387	6.240058188
388	6.239581346
389	6.239095274
390	6.238781715
391	6.238432867
392	6.238054468
393	6.237803702
394	6.237653626
395	6.237246438
396	6.236846071
397	6.236688287
398	6.236524689
399	6.235953193
400	6.235523864
401	6.23492618
402	6.234747692
403	6.234488984
404	6.234283786
405	6.233873152
406	6.233480512
407	6.232992129
408	6.232688697
409	6.231889214
410	6.231648153
411	6.231314106
412	6.230916698
413	6.230524559
414	6.229927681
415	6.229664639
416	6.229407913
417	6.229057883
418	6.225376514
419	6.22494562
420	6.22463854
421	6.223933522
422	6.223569761
423	6.223072249
424	6.22256979
425	6.222395035
426	6.222053539
427	6.221722824
428	6.221591388
429	6.221239677
430	6.220564744
431	6.220059067
432	6.219628029
433	6.219232629
434	6.218970052
435	6.218614926
436	6.218272025
437	6.217763013
438	6.217070451
439	6.216800949
440	6.216588949
441	6.216426938
442	6.216077815
443	6.215430157
444	6.21507757
445	6.214739435
446	6.214376708
447	6.214069064
448	6.213877978
449	6.213423285
450	6.213037588
451	6.211719018
452	6.211340873
453	6.210958499
454	6.210616468
455	6.210330162
456	6.209939743
457	6.209601711
458	6.209310916
459	6.209054208
460	6.208778408
461	6.208547506
462	6.207782915
463	6.206658371
464	6.205709876
465	6.20513351
466	6.204695523
467	6.203919282
468	6.203592582
469	6.203281762
470	6.203015076
471	6.202041313
472	6.201207843
473	6.200345772
474	6.199628334
475	6.198704506
476	6.198327094
477	6.198142743
478	6.197771036
479	6.197607034
480	6.196806041
481	6.196087686
482	6.195741875
483	6.195554559
484	6.194977085
485	6.194736392
486	6.194557047
487	6.194196316
488	6.193964227
489	6.193140819
490	6.192999531
491	6.192685611
492	6.192311171
493	6.192092715
494	6.19192284
495	6.191669183
496	6.191370614
497	6.191187924
498	6.191004968
499	6.19078754
500	6.19041584
501	6.190058649
502	6.189718085
503	6.18925644
504	6.188704183
505	6.188500604
506	6.188066725
507	6.187772888
508	6.187603625
509	6.187302558
510	6.186901477
511	6.186439982
512	6.186291016
513	6.186148331
514	6.185993121
515	6.185768787
516	6.185344304
517	6.185212555
518	6.184976233
519	6.184756689
520	6.184628506
521	6.184502107
522	6.184317814
523	6.184187625
524	6.184016708
525	6.183843216
526	6.183597185
527	6.183444664
528	6.183166494
529	6.182992967
530	6.182762557
531	6.182599146
532	6.182347549
533	6.182067567
534	6.181890514
535	6.181625169
536	6.181303336
537	6.181033405
538	6.18055854
539	6.180404447
540	6.180289143
541	6.179886843
542	6.179550694
543	6.17941666
544	6.179278189
545	6.179116085
546	6.178970833
547	6.17883394
548	6.178627394
549	6.1785259
550	6.17783938
551	6.177426716
552	6.17726018
553	6.177131109
554	6.176748985
555	6.17643239
556	6.176214841
557	6.175546745
558	6.17538107
559	6.175078591
560	6.174558417
561	6.174459814
562	6.174183707
563	6.173978542
564	6.173781939
565	6.173331744
566	6.172667388
567	6.172547218
568	6.172129232
569	6.169530639
570	6.169319118
571	6.169174469
572	6.168950369
573	6.167013996
574	6.166855143
575	6.166653162
576	6.166401606
577	6.166099691
578	6.165785457
579	6.165622721
580	6.165498412
581	6.164623169
582	6.164255606
583	6.164074934
584	6.163667285
585	6.163209181
586	6.162520859
587	6.162194056
588	6.161567335
589	6.16132047
590	6.160748382
591	6.160539676
592	6.160331379
593	6.160128709
594	6.159794442
595	6.159672286
596	6.159475443
597	6.159237672
598	6.158948773
599	6.158761607
600	6.158519553
601	6.158249777
602	6.157992575
603	6.156352643
604	6.156221098
605	6.156047081
606	6.155909116
607	6.155776514
608	6.155498851
609	6.155271488
610	6.154716341
611	6.154608348
612	6.154490404
613	6.153341015
614	6.153082673
615	6.152967551
616	6.152859047
617	6.152499491
618	6.152251877
619	6.152076337
620	6.151870791
621	6.151557193
622	6.151404641
623	6.151034588
624	6.149860747
625	6.149749602
626	6.149520206
627	6.149305427
628	6.148692645
629	6.148589793
630	6.148122672
631	6.148025676
632	6.147934251
633	6.147848062
634	6.147549449
635	6.147350149
636	6.147171951
637	6.14650977
638	6.145907704
639	6.145792633
640	6.144614986
641	6.144073746
642	6.143992471
643	6.1436955
644	6.143368979
645	6.14277802
646	6.14257699
647	6.142327919
648	6.142210609
649	6.141790951
650	6.141242056
651	6.141027066
652	6.140822816
653	6.140745946
654	6.140519523
655	6.140189624
656	6.139828717
657	6.139267342
658	6.138895779
659	6.138823248
660	6.138463571
661	6.138048302
662	6.137848541
663	6.137767311
664	6.137355703
665	6.137115037
666	6.135912463
667	6.135596579
668	6.134744213
669	6.134675723
670	6.133500427
671	6.133436008
672	6.133327842
673	6.133181068
674	6.133031282
675	6.132601001
676	6.132376621
677	6.13213536
678	6.131471715
679	6.131253346
680	6.131053629
681	6.130891703
682	6.130443921
683	6.130198034
684	6.130099595
685	6.129281846
686	6.128042834
687	6.127893139
688	6.127663631
689	6.127372066
690	6.127141985
691	6.127040264
692	6.126151104
693	6.125999771
694	6.125869943
695	6.125771265
696	6.125657957
697	6.125520292
698	6.125409424
699	6.125188657
700	6.125087096
701	6.124434067
702	6.123693337
703	6.123499574
704	6.123397665
705	6.122168695
706	6.121961957
707	6.121828364
708	6.121361627
709	6.121188109
710	6.121088118
711	6.120505162
712	6.12035687
713	6.120268169
714	6.119909074
715	6.119679432
716	6.11956133
717	6.119408446
718	6.119357035
719	6.119238751
720	6.119124196
721	6.118999687
722	6.118844805
723	6.11777789
724	6.11759613
725	6.117509833
726	6.117402357
727	6.117353587
728	6.117102742
729	6.116967794
730	6.116800241
731	6.11669117
732	6.116573827
733	6.116415034
734	6.116190255
735	6.116026185
736	6.115891096
737	6.115799782
738	6.115638054
739	6.11541985
740	6.115289986
741	6.115089651
742	6.114809355
743	6.114586772
744	6.11428045
745	6.113922052
746	6.113795626
747	6.113406762
748	6.113280754
749	6.113204569
750	6.11280459
751	6.11268316
752	6.112519626
753	6.111961414
754	6.111859972
755	6.111694387
756	6.110970536
757	6.110857365
758	6.110505301
759	6.110159213
760	6.109857961
761	6.109714504
762	6.109519351
763	6.109272563
764	6.10907764
765	6.108088385
766	6.10795893
767	6.107883113
768	6.107630763
769	6.107475137
770	6.107387475
771	6.107301989
772	6.107255899
773	6.107181291
774	6.107029051
775	6.106877212
776	6.10674064
777	6.106647355
778	6.106498784
779	6.106162963
780	6.105970779
781	6.105718487
782	6.105574986
783	6.105494717
784	6.104870755
785	6.104673197
786	6.10457412
787	6.104314727
788	6.101061862
789	6.100906289
790	6.100737806
791	6.100607993
792	6.099463398
793	6.099282682
794	6.098988305
795	6.098868382
796	6.098782561
797	6.098614001
798	6.098343221
799	6.098105151
800	6.09795556
801	6.097622939
802	6.097372756
803	6.097042765
804	6.096450657
805	6.096407571
806	6.096245278
807	6.096125813
808	6.095996505
809	6.095929747
810	6.095799709
811	6.095039135
812	6.09475643
813	6.094636024
814	6.093674662
815	6.093486038
816	6.093336837
817	6.093261185
818	6.093156259
819	6.093103347
820	6.092973303
821	6.092825721
822	6.092557738
823	6.091908785
824	6.091796169
825	6.091700261
826	6.091038794
827	6.090872869
828	6.090524853
829	6.090446392
830	6.090119666
831	6.089899089
832	6.089732906
833	6.089419932
834	6.089219635
835	6.088936735
836	6.088708652
837	6.088284842
838	6.088132226
839	6.087993033
840	6.087887684
841	6.087825612
842	6.087633558
843	6.0874574
844	6.087044402
845	6.086832226
846	6.086738689
847	6.086644344
848	6.086389164
849	6.086250181
850	6.086112197
851	6.08595951
852	6.085859348
853	6.085738105
854	6.08542206
855	6.08525181
856	6.085157448
857	6.08489437
858	6.084787457
859	6.084678345
860	6.08458262
861	6.084358456
862	6.084164405
863	6.084061803
864	6.083857275
865	6.08358403
866	6.083307928
867	6.083133614
868	6.082334619
869	6.081947571
870	6.081848126
871	6.081747043
872	6.08164036
873	6.081440352
874	6.081327805
875	6.081241641
876	6.081135297
877	6.081011369
878	6.080890903
879	6.080811504
880	6.08068448
881	6.080586481
882	6.080495189
883	6.080343111
884	6.080238067
885	6.079895047
886	6.079723577
887	6.079618214
888	6.079512501
889	6.079399556
890	6.0792893
891	6.078608554
892	6.078389243
893	6.078183216
894	6.077763565
895	6.077218631
896	6.076998212
897	6.076796991
898	6.076728098
899	6.076643096
900	6.0765591
901	6.076466536
902	6.076294953
903	6.076220192
904	6.076089666
905	6.075642726
906	6.07553807
907	6.075402701
908	6.074724575
909	6.074550034
910	6.074396656
911	6.074246306
912	6.073376557
913	6.073285443
914	6.073182157
915	6.073123351
916	6.072422211
917	6.072036268
918	6.071761191
919	6.071421062
920	6.071010195
921	6.070873543
922	6.070793027
923	6.070516286
924	6.070288099
925	6.070074637
926	6.069800752
927	6.069705683
928	6.069568238
929	6.06938998
930	6.069285013
931	6.069089857
932	6.068356085
933	6.068217772
934	6.068068249
935	6.067990494
936	6.0678166
937	6.06775696
938	6.067677508
939	6.067577933
940	6.067327714
941	6.067013199
942	6.066764988
943	6.066583644
944	6.066519982
945	6.06616123
946	6.065951717
947	6.065093377
948	6.064611774
949	6.064390434
950	6.064051064
951	6.063942475
952	6.06385077
953	6.063558347
954	6.062750097
955	6.062534153
956	6.062449896
957	6.062353354
958	6.062113154
959	6.062016603
960	6.061914047
961	6.061684924
962	6.06148763
963	6.060766984
964	6.06066928
965	6.060594591
966	6.060464036
967	6.060253727
968	6.060081165
969	6.059794157
970	6.059702497
971	6.059593738
972	6.059513082
973	6.059420569
974	6.059235548
975	6.058605224
976	6.058485444
977	6.058275764
978	6.058198093
979	6.058067907
980	6.057878457
981	6.057807062
982	6.057659608
983	6.057574368
984	6.05739283
985	6.057191773
986	6.057092686
987	6.05699797
988	6.056389596
989	6.056147848
990	6.056048878
991	6.055854514
992	6.055718661
993	6.055571128
994	6.055442728
995	6.055301985
996	6.055225578
997	6.055144319
998	6.055079017
999	6.054982154
